Ice-on, 13-Dec-1994
Ice-off, 20-Dec-1994
Ice-on, 21-Dec-1994
Ice-off, 27-Dec-1994
Ice-on, 28-Dec-1994
Ice-off, 03-Apr-1995
Ice-on, 20-Nov-1995
Ice-off, 22-Nov-1995
Ice-on, 05-Dec-1995
Ice-off, 06-May-1996
Ice-on, 28-Nov-1996
Ice-off, 09-Apr-1997
Ice-on, 26-Nov-1997
Ice-off, 29-Mar-1998
Ice-on, 18-Nov-1998
Ice-off, 09-Apr-1999
Ice-on, 11-Dec-1999
Ice-off, 16-Feb-2000
Ice-on, 19-Feb-2000
Ice-off, 28-Feb-2000
Ice-on, 25-Dec-2000
